S.No,Class,Subject,Total projected demands,Books actually recieved by blocks,% of received books,%Pendency
,,,,,,
"                                1
                            ",1,English - Language-English READER ( SPECIAL SERIES) -1, , , , 
"                                2
                            ",1,English - Maths-1, , , , 
"                                3
                            ",2,English - Language-English READER ( SPECIAL SERIES) -2, , , , 
"                                4
                            ",2,English - Maths-2, , , , 
"                                5
                            ",3,English - EVS-3, , , , 
"                                6
                            ",3,English - Language-English READER ( SPECIAL SERIES) -3, , , , 
"                                7
                            ",3,English - Language-Hindi (Sugam Bharti) -3, , , , 
"                                8
                            ",3,English - Maths-3, , , , 
"                                9
                            ",4,English - EVS-4, , , , 
"                                10
                            ",4,English - Language-English READER ( SPECIAL SERIES) -4, , , , 
"                                11
                            ",4,English - Maths-4, , , , 
"                                12
                            ",5,English - EVS-5, , , , 
"                                13
                            ",5,English - Language-English READER ( SPECIAL SERIES) -5, , , , 
"                                14
                            ",5,English - Language-Hindi (Sugam Bharti) -5, , , , 
"                                15
                            ",5,English - Maths-5, , , , 
"                                16
                            ",6,English - Language-English READER ( SPECIAL SERIES) -6, , , , 
"                                17
                            ",6,English - Maths-6, , , , 
"                                18
                            ",6,English - Sahayak Wachan(Supplementry Reader)-6, , , , 
"                                19
                            ",6,English - Sanskrit (Surabhi) -6, , , , 
"                                20
                            ",6,English - SCIENCE-6 , , , , 
"                                21
                            ",6,English - Soc. Science-6, , , , 
"                                22
                            ",7,English - Language-English READER ( SPECIAL SERIES) -7, , , , 
"                                23
                            ",7,English - Maths-7, , , , 
"                                24
                            ",7,English - Sahayak Wachan (Supplementry Reader)-7, , , , 
"                                25
                            ",7,English - Sanskrit (Surabhi)-7, , , , 
"                                26
                            ",7,English - Science-7, , , , 
"                                27
                            ",7,English - Social Science-7, , , , 
"                                28
                            ",8,English - Language-English READER ( SPECIAL SERIES) -8, , , , 
"                                29
                            ",8,English - Language-Hindi (Sugam Bharti) -8, , , , 
"                                30
                            ",8,English - Maths-8, , , , 
"                                31
                            ",8,English - Sahayak Wachan (Supplementry Reader)-8, , , , 
"                                32
                            ",8,English - Sanskrit (Surabhi)-8, , , , 
"                                33
                            ",8,English - Science-8, , , , 
"                                34
                            ",8,English - Social Science-8, , , , 
"                                35
                            ",1,Hindi - BHASHA BHARTI-1,4075, , , 
"                                36
                            ",1,Hindi - GANIT -1,4075,5037,123,-23
"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,3861,5037,130,-30
"                                38
                            ",2,Hindi - BHASHA BHARTI-2,3278,5142,156,-56
"                                39
                            ",2,Hindi - GANIT -2,3850,5142,133,-33
"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,4130,5142,124,-24
"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,3570,5107,143,-43
"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,3570,5107,143,-43
"                                43
                            ",3,Hindi - GANIT -3,3685,5107,138,-38
"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,3570,5107,143,-43
"                                45
                            ",4,Hindi - BHASHA BHARTI ,3355,4775,142,-42
"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,3245,4775,147,-47
"                                47
                            ",4,Hindi - GANIT -4,3355,4775,142,-42
"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,3590,4775,133,-33
"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),3000,3344,111,-11
"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,2905,3344,115,-15
"                                51
                            ",5,Hindi - GANIT -5,3000,3344,111,-11
"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,3200,3344,104,-4
"                                53
                            ",6,Hindi - BHASHA BHARTI-6,2935,2564,87,13
"                                54
                            ",6,Hindi - GANIT -6,2935,5128,174,-74
"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,3115,2564,82,18
"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,2935, , , 
"                                57
                            ",6,Hindi - SCIENCE-6 ,2935, , , 
"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,2830,2564,90,10
"                                59
                            ",6,Hindi - SURBHI-6,2935,2564,87,13
"                                60
                            ",7,Hindi - BHASHA BHARTI -7,2482,1407,56,44
"                                61
                            ",7,Hindi - GANIT -7,2482,1407,56,44
"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,2642,1407,53,47
"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,2482,1407,56,44
"                                64
                            ",7,Hindi - SCIENCE-7 ,2482,1407,56,44
"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,2390,1407,58,42
"                                66
                            ",7,Hindi - SURBHI-7,2390,1407,58,42
"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),2015,1039,51,49
"                                68
                            ",8,Hindi - GANIT -8,2015,1039,51,49
"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,2083,1039,49,51
"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,1784,1039,58,42
"                                71
                            ",8,Hindi - SCIENCE-8,2015,1039,51,49
"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,1905,1039,54,46
"                                73
                            ",8,Hindi - SURBHI-8,1905,1039,54,46
"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1, , , , 
"                                75
                            ",1,Marathi - Language-Marathi-1, , , , 
"                                76
                            ",1,Marathi - Maths-1, , , , 
"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2, , , , 
"                                78
                            ",2,Marathi - Language-Marathi-2, , , , 
"                                79
                            ",2,Marathi - Maths-2, , , , 
"                                80
                            ",3,Marathi - EVS-3, , , , 
"                                81
                            ",3,Marathi - General Hindi-3, , , , 
"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3, , , , 
"                                83
                            ",3,Marathi - Language-Marathi-3, , , , 
"                                84
                            ",3,Marathi - Maths-3, , , , 
"                                85
                            ",4,Marathi - EVS-4, , , , 
"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4, , , , 
"                                87
                            ",4,Marathi - Language-Marathi-4, , , , 
"                                88
                            ",4,Marathi - Maths-4, , , , 
"                                89
                            ",5,Marathi - EVS-5, , , , 
"                                90
                            ",5,Marathi - Hindi General -5, , , , 
"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3, , , , 
"                                92
                            ",5,Marathi - Language-Marathi-5, , , , 
"                                93
                            ",5,Marathi - Maths-5, , , , 
"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3, , , , 
"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6, , , , 
"                                96
                            ",6,Marathi - Maths-6, , , , 
"                                97
                            ",6,Marathi - Sahayak Vachan-6, , , , 
"                                98
                            ",6,Marathi - SCIENCE-6 , , , , 
"                                99
                            ",6,Marathi - Social Science-6, , , , 
"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3, , , , 
"                                101
                            ",7,Marathi - Language-Marathi-7, , , , 
"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7, , , , 
"                                103
                            ",7,Marathi - Maths-7, , , , 
"                                104
                            ",7,Marathi - Science-7, , , , 
"                                105
                            ",7,Marathi - Social Science-7, , , , 
"                                106
                            ",8,Marathi - General Hindi-8, , , , 
"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8, , , , 
"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8, , , , 
"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7, , , , 
"                                110
                            ",8,Marathi - Maths-8, , , , 
"                                111
                            ",8,Marathi - Science-8, , , , 
"                                112
                            ",8,Marathi - Social Science-8, , , , 
"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1, , , , 
"                                114
                            ",1,Urdu - Maths-1, , , , 
"                                115
                            ",1,Urdu - Urdu Bharti-1, , , , 
"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2, , , , 
"                                117
                            ",2,Urdu - Maths-2, , , , 
"                                118
                            ",2,Urdu - Urdu Bharti-2, , , , 
"                                119
                            ",3,Urdu - General Hindi-3, , , , 
"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3, , , , 
"                                121
                            ",3,Urdu - Maths-3, , , , 
"                                122
                            ",3,Urdu - Urdu Bharti-3, , , , 
"                                123
                            ",3,Urdu - Urdu Environment Science-3, , , , 
"                                124
                            ",4,Urdu - Environment Science-4, , , , 
"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4, , , , 
"                                126
                            ",4,Urdu - Maths-4, , , , 
"                                127
                            ",4,Urdu - Urdu Bharti-4, , , , 
"                                128
                            ",5,Urdu - Environment Science-5, , , , 
"                                129
                            ",5,Urdu - General Hindi-5, , , , 
"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5, , , , 
"                                131
                            ",5,Urdu - Maths-5, , , , 
"                                132
                            ",5,Urdu - Urdu Bharti-5, , , , 
"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6, , , , 
"                                134
                            ",6,Urdu - Maths-6, , , , 
"                                135
                            ",6,Urdu - Sahayak Wachan-6, , , , 
"                                136
                            ",6,Urdu - SCIENCE-6 , , , , 
"                                137
                            ",6,Urdu - Social Science-6, , , , 
"                                138
                            ",6,Urdu - Urdu Bharti-6, , , , 
"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7, , , , 
"                                140
                            ",7,Urdu - Maths-7, , , , 
"                                141
                            ",7,Urdu - Sahayak Wachan-7, , , , 
"                                142
                            ",7,Urdu - Science-7, , , , 
"                                143
                            ",7,Urdu - Social Science-7, , , , 
"                                144
                            ",7,Urdu - Urdu Bharti-6, , , , 
"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8, , , , 
"                                146
                            ",8,Urdu - Maths-8, , , , 
"                                147
                            ",8,Urdu - Sahayak Wachan-8, , , , 
"                                148
                            ",8,Urdu - Science-8, , , , 
"                                149
                            ",8,Urdu - Social Science-8, , , , 
"                                150
                            ",8,Urdu - Urdu Bharti-8, , , , 
"                                151
                            ",8,Urdu - Urdu Bharti-8, , , , 
