,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,Total ST,Total SC,Total GEN,Total
0,SAGAR,19556,19058,32873,34004,62413,66762,6313,7044,121155,126868,38614,66877,13357,248023
1,SHIVPURI,25310,24547,25727,26207,64625,69526,4718,5135,120380,125415,49857,51934,9853,245795
2,DHAR,95432,100720,8078,9092,11295,14865,3284,4867,118089,129544,196152,17170,8151,247633
3,CHHATARPUR,7900,7559,34021,33631,62187,65825,11037,11325,115145,118340,15459,67652,22362,233485
4,REWA,25186,25723,27919,29608,38467,45219,17079,23217,108651,123767,50909,57527,40296,232418
5,SATNA,27993,28301,27356,29176,41487,47857,11331,15031,108167,120365,56294,56532,26362,228532
6,CHHINDWARA,57174,57090,9585,9906,33980,35768,1633,1735,102372,104499,114264,19491,3368,206871
7,TIKAMGARH,6363,6833,27629,29169,59404,62320,5633,5880,99029,104202,13196,56798,11513,203231
8,KHARGONE,60520,64699,11732,11531,22996,26675,3011,3380,98259,106285,125219,23263,6391,204544
9,BARWANI,77018,85530,5578,6242,8410,10045,668,762,91674,102579,162548,11820,1430,194253
10,MORENA,1210,1191,22804,22159,46695,49219,18707,21199,89416,93768,2401,44963,39906,183184
11,VIDISHA,7373,7548,23592,23647,47429,50737,10220,10914,88614,92846,14921,47239,21134,181460
12,BETUL,53337,53731,7236,7627,21817,22371,3239,3162,85629,86891,107068,14863,6401,172520
13,JHABUA,81293,76719,1074,1184,1026,1451,463,505,83856,79859,158012,2258,968,163715
14,BHIND,305,344,22758,24610,39615,40639,20818,21960,83496,87553,649,47368,42778,171049
15,GUNA,19144,19066,15857,17146,43878,49243,3819,4550,82698,90005,38210,33003,8369,172703
16,SINGROULI,34985,37767,13432,15053,28928,34147,3455,4557,80800,91524,72752,28485,8012,172324
17,BALAGHAT,26569,28054,5155,5612,48556,50935,458,603,80738,85204,54623,10767,1061,165942
18,SEONI,37403,38598,6454,6564,28150,29819,3420,3630,75427,78611,76001,13018,7050,154038
19,RAJGARH,3616,4318,20391,23379,45616,59453,5220,7133,74843,94283,7934,43770,12353,169126
20,SIDHI,27485,29053,11792,13101,27549,31370,7970,10262,74796,83786,56538,24893,18232,158582
21,JABALPUR,24156,24250,14278,14642,31953,33517,3074,3271,73461,75680,48406,28920,6345,149141
22,DAMOH,14292,14697,17001,17333,37049,41148,3543,3822,71885,77000,28989,34334,7365,148885
23,KHANDWA,36582,35994,9481,9538,21236,23478,3987,4535,71286,73545,72576,19019,8522,144831
24,KATNI,26118,26478,9892,10270,29816,31781,3387,3771,69213,72300,52596,20162,7158,141513
25,RAISEN,16748,17028,15205,15628,28507,31960,7127,7970,67587,72586,33776,30833,15097,140173
26,RATLAM,35268,34925,11155,12014,15591,20053,4772,5883,66786,72875,70193,23169,10655,139661
27,PANNA,14975,15070,17051,17855,26376,30393,7515,8376,65917,71694,30045,34906,15891,137611
28,UJJAIN,2480,2562,27454,30696,27330,34184,8034,10424,65298,77866,5042,58150,18458,143164
29,ALIRAJPUR,61141,60001,2339,2394,609,861,90,103,64179,63359,121142,4733,193,127538
30,GWALIOR,5810,5652,17639,19575,35495,41038,3906,5285,62850,71550,11462,37214,9191,134400
31,SHAHDOL,35004,35856,5708,6040,16097,17167,2872,3461,59681,62524,70860,11748,6333,122205
32,MANDLA,40642,42726,2321,2537,16074,16965,352,322,59389,62550,83368,4858,674,121939
33,ASHOKNAGAR,9697,9221,14533,15357,28686,31638,4449,5107,57365,61323,18918,29890,9556,118688
34,DEWAS,20733,22490,14259,17619,17720,24686,3675,5966,56387,70761,43223,31878,9641,127148
35,SEHORE,11250,12190,14966,18059,21255,29159,4643,6260,52114,65668,23440,33025,10903,117782
36,BHOPAL,3586,3879,14721,15810,25449,28479,5992,6727,49748,54895,7465,30531,12719,104643
37,HOSHANGABAD,14628,15446,10707,11538,20261,24032,3081,3988,48677,55004,30074,22245,7069,103681
38,INDORE,12598,13532,14734,17913,16463,23360,4435,6371,48230,61176,26130,32647,10806,109406
39,SHEOPUR,17347,16716,7275,7448,20184,22465,1475,1625,46281,48254,34063,14723,3100,94535
40,MANDSAUR,2582,2600,13471,15385,25573,32908,4307,6185,45933,57078,5182,28856,10492,103011
41,NARSINGHPUR,9184,9181,10509,10644,23127,24633,2581,2735,45401,47193,18365,21153,5316,92594
42,DATIA,1230,1173,14059,13973,26483,28044,3439,3433,45211,46623,2403,28032,6872,91834
43,DINDORI,29537,31317,2311,2624,9156,10245,468,517,41472,44703,60854,4935,985,86175
44,UMARIA,21938,23025,3999,4369,9099,10006,2079,2492,37115,39892,44963,8368,4571,77007
45,ANUPPUR,21986,22265,3938,4350,8407,9577,991,1309,35322,37501,44251,8288,2300,72823
46,SHAJAPUR,1502,1795,13237,15926,15069,20719,4972,6875,34780,45315,3297,29163,11847,80095
47,BURHANPUR,16279,16776,2902,3043,11052,11237,2709,2926,32942,33982,33055,5945,5635,66924
48,HARDA,14795,15065,5933,6044,6460,7469,1346,1586,28534,30164,29860,11977,2932,58698
49,NEEMUCH,5634,5337,4816,5872,16250,20832,1824,2763,28524,34804,10971,10688,4587,63328
50,AGAR MALWA,766,1024,8687,10198,13571,18468,1765,2562,24789,32252,1790,18885,4327,57041
