,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,SHIVPURI,24550,22977,23101,22806,58164,61354,3947,4155,109762,111292,8276,467,47527,45907,8102,221054
1,DHAR,89742,91582,6522,7495,10414,13227,2326,3467,109004,115771,965,134,181324,14017,5793,224775
2,SAGAR,18449,17374,29630,29314,54407,57482,4893,5364,107379,109534,18052,1270,35823,58944,10257,216913
3,REWA,26468,25338,26779,27245,35060,40261,13500,18448,101807,111292,7805,2361,51806,54024,31948,213099
4,SATNA,28069,27081,25735,26356,38503,42472,9332,12104,101639,108013,11952,2352,55150,52091,21436,209652
5,CHHATARPUR,6204,5915,29321,28115,55843,57584,8583,8878,99951,100492,11604,1255,12119,57436,17461,200443
6,KHARGONE,60690,61364,10666,10450,21182,23784,2270,2655,94808,98253,3282,496,122054,21116,4925,193061
7,TIKAMGARH,6119,6166,26049,25324,56694,55428,4919,4875,93781,91793,8921,472,12285,51373,9794,185574
8,BARWANI,79520,81877,5551,5722,7737,9082,388,479,93196,97160,2447,84,161397,11273,867,190356
9,CHHINDWARA,51850,50032,8020,8158,28280,29219,1215,1322,89365,88731,6932,198,101882,16178,2537,178096
10,JHABUA,85350,81364,818,838,809,1201,392,435,87369,83838,47,8,166714,1656,827,171207
11,MORENA,1324,1230,21223,19987,45159,44756,17951,18981,85657,84954,5015,1149,2554,41210,36932,170611
12,VIDISHA,6950,6598,22449,21247,44085,44389,8262,8666,81746,80900,18693,2881,13548,43696,16928,162646
13,SINGROULI,35928,35958,11700,11880,27574,30376,2967,3703,78169,81917,8680,910,71886,23580,6670,160086
14,GUNA,19209,18735,14530,15411,39247,44124,3065,3584,76051,81854,11778,591,37944,29941,6649,157905
15,BETUL,49569,47885,5735,5980,17410,18335,2503,2544,75217,74744,5222,686,97454,11715,5047,149961
16,BHIND,180,208,20430,21153,35525,35561,18408,19350,74543,76272,3862,1254,388,41583,37758,150815
17,RAJGARH,3737,3901,19912,21544,42385,53493,4668,6490,70702,85428,20503,1940,7638,41456,11158,156130
18,SIDHI,26530,25603,10900,11159,24836,26778,6476,8199,68742,71739,10499,2533,52133,22059,14675,140481
19,DAMOH,13932,13527,16493,15974,34600,36217,3042,3107,68067,68825,10009,790,27459,32467,6149,136892
20,BALAGHAT,23004,23326,3576,3740,40009,42452,325,315,66914,69833,15560,32,46330,7316,640,136747
21,ALIRAJPUR,62759,59254,2782,2646,544,643,101,107,66186,62650,37,2,122013,5428,208,128836
22,JABALPUR,22678,21921,13027,13039,28057,28912,2398,2623,66160,66495,10359,667,44599,26066,5021,132655
23,KATNI,25679,24707,9871,9663,27425,28686,2799,3027,65774,66083,7141,646,50386,19534,5826,131857
24,PANNA,16325,15313,16873,16071,24765,25589,6301,6871,64264,63844,12428,2622,31638,32944,13172,128108
25,KHANDWA,34752,33221,7755,7705,18177,20037,3029,3416,63713,64379,4556,588,67973,15460,6445,128092
26,RATLAM,35327,34039,10305,10921,14176,17506,3752,4517,63560,66983,3549,848,69366,21226,8269,130543
27,SEONI,31831,31748,4858,4892,22668,23705,2609,2503,61966,62848,6953,678,63579,9750,5112,124814
28,RAISEN,15778,15347,13582,13602,24358,26879,5537,6261,59255,62089,5785,947,31125,27184,11798,121344
29,GWALIOR,5396,5220,16502,16793,32656,35251,3766,4371,58320,61635,1986,105,10616,33295,8137,119955
30,UJJAIN,2213,2238,24783,27435,23916,30205,6445,8484,57357,68362,6147,1310,4451,52218,14929,125719
31,MANDLA,39492,39485,1906,1996,14931,15412,263,279,56592,57172,5207,53,78977,3902,542,113764
32,DEWAS,21186,21573,12942,14972,16824,22125,3376,5243,54328,63913,1167,131,42759,27914,8619,118241
33,SHAHDOL,31493,31040,5104,5103,13676,14133,2117,2527,52390,52803,5205,628,62533,10207,4644,105193
34,ASHOKNAGAR,8975,8339,12852,13151,25082,27128,3584,4150,50493,52768,5096,308,17314,26003,7734,103261
35,SEHORE,11281,11319,12764,14433,17188,22181,3879,4898,45112,52831,3089,596,22600,27197,8777,97943
36,INDORE,13062,13228,13602,16004,14393,19848,3485,4669,44542,53749,2458,469,26290,29606,8154,98291
37,SHEOPUR,16436,15766,6792,6620,18594,20008,1353,1369,43175,43763,941,66,32202,13412,2722,86938
38,BHOPAL,2999,3113,12954,14288,22216,24509,4313,4937,42482,46847,4958,1160,6112,27242,9250,89329
39,HOSHANGABAD,13517,13303,9199,9453,16855,19751,1931,2538,41502,45045,5995,509,26820,18652,4469,86547
40,DINDORI,29798,30364,2035,2174,9402,10045,204,227,41439,42810,4902,65,60162,4209,431,84249
41,MANDSAUR,2145,2071,12220,13450,22529,28772,3745,4840,40639,49133,5400,732,4216,25670,8585,89772
42,DATIA,1166,1105,12743,12059,23749,24223,2973,2876,40631,40263,4148,273,2271,24802,5849,80894
43,NARSINGHPUR,8797,8543,8994,9028,20151,21539,2396,2582,40338,41692,8535,799,17340,18022,4978,82030
44,UMARIA,23010,22293,3061,3193,8246,8936,1762,1947,36079,36369,2387,505,45303,6254,3709,72448
45,BURHANPUR,17105,16825,2811,3061,11331,12176,2622,2864,33869,34926,6830,1366,33930,5872,5486,68795
46,ANUPPUR,21004,20739,3529,3754,7625,8379,839,972,32997,33844,1836,139,41743,7283,1811,66841
47,SHAJAPUR,1332,1484,11473,13372,12688,17467,4139,5861,29632,38184,6043,1561,2816,24845,10000,67816
48,NEEMUCH,5594,5332,4162,4919,14183,17808,1521,2190,25460,30249,3689,267,10926,9081,3711,55709
49,AGAR MALWA,811,1003,8168,9133,12685,16298,1612,2238,23276,28672,5665,559,1814,17301,3850,51948
50,HARDA,11968,12192,4412,4552,4797,5627,906,1049,22083,23420,842,94,24160,8964,1955,45503
