,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,CHHATARPUR,8020,7247,32701,30841,59187,58761,9126,9213,109034,106062,13283,1390,15267,63542,18339,215096
1,SHIVPURI,24098,22314,22491,21036,56763,57356,4002,3845,107354,104551,6600,272,46412,43527,7847,211905
2,DHAR,85009,85071,6080,6908,9537,11806,2069,3009,102695,106794,872,55,170080,12988,5078,209489
3,SAGAR,17615,16434,28046,27377,50845,53555,4466,4966,100972,102332,13398,1094,34049,55423,9432,203304
4,REWA,25917,24230,25900,25771,33740,37678,12684,16906,98241,104585,3311,992,50147,51671,29590,202826
5,TIKAMGARH,6853,6592,27088,25244,58498,55291,5175,4930,97614,92057,7855,472,13445,52332,10105,189671
6,SATNA,27579,26011,24174,24687,36208,39050,8408,10967,96369,100715,9983,1996,53590,48861,19375,197084
7,KHARGONE,59413,57869,9607,9332,19278,21606,1992,2405,90290,91212,2297,313,117282,18939,4397,181502
8,JHABUA,85079,78838,701,772,728,1037,370,437,86878,81084,10,5,163917,1473,807,167962
9,BARWANI,72904,72317,4916,5038,7184,8241,398,438,85402,86034,1644,42,145221,9954,836,171436
10,MORENA,1230,1059,20832,18845,44465,41867,17877,17912,84404,79683,3271,525,2289,39677,35789,164087
11,CHHINDWARA,49608,47790,7403,7579,25771,26792,1016,1150,83798,83311,4609,146,97398,14982,2166,167109
12,VIDISHA,6953,6289,21423,19858,41971,41439,7840,8063,78187,75649,14671,2062,13242,41281,15903,153836
13,SINGROULI,34795,33288,11128,10698,25935,27568,2865,3425,74723,74979,8495,760,68083,21826,6290,149702
14,GUNA,19016,18059,14058,14191,37989,41699,2914,3384,73977,77333,6613,397,37075,28249,6298,151310
15,BETUL,47415,45428,5362,5509,15848,16860,2266,2309,70891,70106,4308,465,92843,10871,4575,140997
16,BHIND,281,334,19149,18951,33225,31639,17510,17547,70165,68471,1196,640,615,38100,35057,138636
17,KHANDWA,39145,36516,8139,7778,19072,20492,2985,3261,69341,68047,4220,479,75661,15917,6246,137388
18,RAJGARH,3535,3644,19088,19869,40837,49824,4444,5974,67904,79311,21755,1807,7179,38957,10418,147215
19,SIDHI,26226,24173,10869,10499,24496,25452,6213,7663,67804,67787,5502,1331,50399,21368,13876,135591
20,ALIRAJPUR,62925,57373,2409,2394,469,555,68,81,65871,60403,6,0,120298,4803,149,126274
21,DAMOH,13312,12876,16003,15307,33233,34027,3016,2961,65564,65171,6374,438,26188,31310,5977,130735
22,KATNI,25219,23723,9159,8984,26021,26885,2468,2753,62867,62345,5664,485,48942,18143,5221,125212
23,BALAGHAT,21713,22020,3426,3519,37345,39666,311,311,62795,65516,15466,62,43733,6945,622,128311
24,JABALPUR,21595,20958,12286,12476,26241,27115,2313,2439,62435,62988,7889,475,42553,24762,4752,125423
25,PANNA,15805,14349,16178,15247,23592,23581,6017,6494,61592,59671,11301,2217,30154,31425,12511,121263
26,RATLAM,34410,32989,9720,10127,12989,15840,3371,4001,60490,62957,2477,593,67399,19847,7372,123447
27,SEONI,29823,29776,4610,4706,21223,21996,2439,2321,58095,58799,7325,830,59599,9316,4760,116894
28,RAISEN,15005,14557,13022,12917,22584,24647,5071,5776,55682,57897,4485,842,29562,25939,10847,113579
29,GWALIOR,4843,4465,15728,15809,31362,32896,3692,3972,55625,57142,970,81,9308,31537,7664,112767
30,MANDLA,38294,37834,1791,1871,14310,14676,311,319,54706,54700,3356,36,76128,3662,630,109406
31,UJJAIN,2146,2120,23584,25599,22390,27788,5694,7721,53814,63228,4726,1087,4266,49183,13415,117042
32,DEWAS,20642,20363,12251,13656,15838,20340,3243,4989,51974,59348,1640,343,41005,25907,8232,111322
33,SHAHDOL,31009,30359,5024,4879,13235,13481,2031,2402,51299,51121,3963,462,61368,9903,4433,102420
34,ASHOKNAGAR,9590,8715,12876,12712,25152,26539,3476,3815,51094,51781,4062,298,18305,25588,7291,102875
35,SEHORE,11119,10793,12329,13542,16308,20564,3653,4722,43409,49621,4001,578,21912,25871,8375,93030
36,INDORE,12860,12581,13141,14805,13359,18272,3265,4203,42625,49861,2751,551,25441,27946,7468,92486
37,BHOPAL,3264,3273,12915,13858,21512,23269,4232,4821,41923,45221,7075,1514,6537,26773,9053,87144
38,SHEOPUR,15542,14738,6365,6001,17946,18566,1287,1341,41140,40646,637,14,30280,12366,2628,81786
39,DINDORI,29626,29425,2092,2092,9176,9757,177,183,41071,41457,3278,29,59051,4184,360,82528
40,DATIA,1123,1065,12330,11257,22454,21991,2847,2679,38754,36992,2140,165,2188,23587,5526,75746
41,MANDSAUR,2078,2047,11582,12290,21497,26979,3407,4493,38564,45809,3353,562,4125,23872,7900,84373
42,HOSHANGABAD,12533,11987,8515,8663,15130,17409,1703,2290,37881,40349,3738,243,24520,17178,3993,78230
43,NARSINGHPUR,8316,8099,8418,8336,18669,19961,2244,2440,37647,38836,6777,711,16415,16754,4684,76483
44,UMARIA,22328,21726,2947,2986,7934,8559,1636,1805,34845,35076,2416,480,44054,5933,3441,69921
45,BURHANPUR,18012,16813,2812,2913,11163,11613,2620,2485,34607,33824,5249,1059,34825,5725,5105,68431
46,ANUPPUR,20186,19806,3437,3519,7487,7919,790,888,31900,32132,1615,112,39992,6956,1678,64032
47,SHAJAPUR,1203,1431,10247,11939,11493,15656,3650,5344,26593,34370,4658,1295,2634,22186,8994,60963
48,HARDA,13247,12747,4364,4398,4998,5584,793,993,23402,23722,1764,224,25994,8762,1786,47124
49,NEEMUCH,5045,4794,3886,4449,12865,15883,1338,1921,23134,27047,2625,104,9839,8335,3259,50181
50,AGAR MALWA,758,897,7773,8653,11786,15368,1447,2033,21764,26951,4662,506,1655,16426,3480,48715
