,District Name,Boys ST,Girls ST,Boys SC,Girls SC,Boys OBC,Girls OBC,Boys GEN,Girls GEN,Boys Total,Girls Total,OBC Boys,Gen. Boys,Total ST,Total SC,Total GEN,Total
0,CHHATARPUR,8128,7345,31906,29678,57204,55902,8638,8529,105876,101454,11428,1182,15473,61584,17167,207330
1,SHIVPURI,23253,21095,21608,19790,55018,53859,3879,3727,103758,98471,3778,138,44348,41398,7606,202229
2,DHAR,81253,80238,5531,6263,8584,10559,1890,2761,97258,99821,1125,86,161491,11794,4651,197079
3,SAGAR,16850,15597,26145,25400,47528,49201,4236,4564,94759,94762,10136,717,32447,51545,8800,189521
4,REWA,25578,23000,25214,24692,31786,34822,12108,15303,94686,97817,7296,2123,48578,49906,27411,192503
5,TIKAMGARH,6705,6385,26304,24143,56360,52263,5143,4723,94512,87514,7803,486,13090,50447,9866,182026
6,SATNA,26950,24823,22958,22842,33642,35679,7929,10089,91479,93433,9364,2055,51773,45800,18018,184912
7,JHABUA,84788,76952,609,788,675,987,320,417,86392,79144,13,5,161740,1397,737,165536
8,KHARGONE,57350,55226,9065,8593,17660,19668,1798,2205,85873,85692,2008,236,112576,17658,4003,171565
9,MORENA,1432,1283,20451,17837,43486,39658,18089,17306,83458,76084,3305,632,2715,38288,35395,159542
10,BARWANI,69008,66233,4647,4620,6504,7278,379,392,80538,78523,1877,66,135241,9267,771,159061
11,CHHINDWARA,46879,45072,6588,6847,23454,24840,905,1023,77826,77782,3899,101,91951,13435,1928,155608
12,SINGROULI,34588,32287,10929,10395,25377,26053,2765,3151,73659,71886,5767,383,66875,21324,5916,145545
13,VIDISHA,6514,6038,20016,18235,38933,37864,7216,7439,72679,69576,13120,1635,12552,38251,14655,142255
14,GUNA,18693,17533,13294,13197,35460,38640,2837,3153,70284,72523,8957,687,36226,26491,5990,142807
15,BHIND,191,251,18501,17838,31897,29747,17091,16433,67680,64269,1681,602,442,36339,33524,131949
16,BETUL,44493,42350,4783,5000,14103,15103,2007,2139,65386,64592,3776,480,86843,9783,4146,129978
17,KHANDWA,37593,34788,7302,7353,17591,19369,2599,2969,65085,64479,3095,450,72381,14655,5568,129564
18,ALIRAJPUR,61766,55430,2399,2344,405,512,63,66,64633,58352,0,0,117196,4743,129,122985
19,SIDHI,25206,23056,10458,9918,23197,23458,5647,6880,64508,63312,5232,1157,48262,20376,12527,127820
20,RAJGARH,3415,3372,17905,18539,38439,46155,4157,5478,63916,73544,20601,1621,6787,36444,9635,137460
21,DAMOH,12661,12056,15155,14203,30666,30721,2732,2669,61214,59649,6428,426,24717,29358,5401,120863
22,PANNA,15476,13816,16185,14986,22681,22198,6175,6626,60517,57626,10744,2744,29292,31171,12801,118143
23,KATNI,24306,22311,8602,8433,24988,25178,2221,2542,60117,58464,4324,255,46617,17035,4763,118581
24,BALAGHAT,20770,20355,3109,3196,35119,36295,263,300,59261,60146,13846,35,41125,6305,563,119407
25,JABALPUR,20412,19715,11554,11438,24409,25284,2068,2164,58443,58601,5066,310,40127,22992,4232,117044
26,RATLAM,34514,32178,8924,9464,11659,14346,3136,3700,58233,59688,2211,435,66692,18388,6836,117921
27,SEONI,27668,27427,4061,4172,19371,19876,2222,2154,53322,53629,6924,544,55095,8233,4376,106951
28,RAISEN,14531,13964,12298,11974,20803,22513,4548,5174,52180,53625,3937,566,28495,24272,9722,105805
29,GWALIOR,4473,4031,14645,14421,29039,29837,3208,3525,51365,51814,647,31,8504,29066,6733,103179
30,MANDLA,35865,35391,1674,1627,13357,13505,205,219,51101,50742,4104,46,71256,3301,424,101843
31,UJJAIN,2186,2151,21965,23679,20385,25404,5053,6947,49589,58181,5078,1068,4337,45644,12000,107770
32,ASHOKNAGAR,9004,8116,12216,11817,24157,25014,3308,3653,48685,48600,3511,224,17120,24033,6961,97285
33,SHAHDOL,29345,28685,4791,4543,12659,12796,1829,2121,48624,48145,4327,459,58030,9334,3950,96769
34,DEWAS,20117,19734,10989,12325,14360,18504,2925,4530,48391,55093,1576,198,39851,23314,7455,103484
35,SEHORE,10997,10349,11902,12594,15542,19015,3361,4413,41802,46371,4556,899,21346,24496,7774,88173
36,INDORE,12663,12270,12550,14078,12536,16858,3090,3911,40839,47117,1139,295,24933,26628,7001,87956
37,DINDORI,29101,28615,1892,1977,8762,9093,138,163,39893,39848,3788,37,57716,3869,301,79741
38,SHEOPUR,14780,13898,6148,5588,17420,17343,1220,1199,39568,38028,882,49,28678,11736,2419,77596
39,BHOPAL,3250,3097,11893,12795,19718,21073,3963,4289,38824,41254,6639,1421,6347,24688,8252,80078
40,DATIA,1079,975,11711,10571,21275,20158,2632,2400,36697,34104,2308,162,2054,22282,5032,70801
41,NARSINGHPUR,7818,7620,7738,7665,17046,18168,2088,2255,34690,35708,5639,618,15438,15403,4343,70398
42,MANDSAUR,1908,1805,10328,10987,19339,24107,2991,3944,34566,40843,4814,613,3713,21315,6935,75409
43,HOSHANGABAD,11747,11311,7541,7538,13686,15855,1415,1960,34389,36664,2342,191,23058,15079,3375,71053
44,UMARIA,21480,20849,2818,2811,7845,8130,1646,1734,33789,33524,2588,453,42329,5629,3380,67313
45,BURHANPUR,17724,16202,2690,2577,10513,10840,2334,2246,33261,31865,6178,1191,33926,5267,4580,65126
46,ANUPPUR,19349,19010,3240,3328,6969,7318,682,784,30240,30440,1909,112,38359,6568,1466,60680
47,SHAJAPUR,1149,1312,9192,10777,10428,14231,3338,4995,24107,31315,4167,1138,2461,19969,8333,55422
48,HARDA,12638,12010,4010,3955,4738,5089,713,911,22099,21965,1208,100,24648,7965,1624,44064
49,NEEMUCH,4736,4383,3172,3615,11408,13951,1167,1614,20483,23563,2374,106,9119,6787,2781,44046
50,AGAR MALWA,676,793,7244,8024,10702,14093,1211,1767,19833,24677,4301,349,1469,15268,2978,44510
