,Unnamed: 0,District,Primary BoysTextBook,Primary GirlsTextBook,Upper Primary BoysTextBook,Upper Primary GirlsTextBook,Primary BoysUniform,Primary GirlsUniform,Upper Primary BoysUniform,Upper Primary GirlsUniform,District Name,Boys Total,Girls Total,Total,%Boys,%Girls
36,36,SAGAR,123961,130903,52233,57512,11,130389,13,57667,SAGAR,121155,126868,248023,48.8482923,51.1517077
43,43,SHIVPURI,124249,131231,41696,35592,199,128040,0,34962,SHIVPURI,120380,125415,245795,48.97577249,51.02422751
14,14,DHAR,117853,127704,33888,32218,44,124283,161,31368,DHAR,118089,129544,247633,47.68710148,52.31289852
37,37,SATNA,111062,124823,41979,51547,141,122778,162,50696,SATNA,108167,120365,228532,47.33122714,52.66877286
35,35,REWA,118154,133556,37668,47847,169,121967,64,45200,REWA,108651,123767,232418,46.74810041,53.25189959
9,9,CHHATARPUR,115192,119326,35993,35272,1,117790,10,34658,CHHATARPUR,115145,118340,233485,49.31580187,50.68419813
25,25,KHARGONE,101466,114710,30699,31866,0,112771,3,31512,KHARGONE,98259,106285,204544,48.03807494,51.96192506
10,10,CHHINDWARA,106229,110004,49085,51370,14,109275,143,50497,CHHINDWARA,102372,104499,206871,49.48591151,50.51408849
46,46,TIKAMGARH,98403,104526,34720,31313,59,103813,18,30870,TIKAMGARH,99029,104202,203231,48.7273103,51.2726897
4,4,BARWANI,90683,99636,22361,22038,3,98194,90,21529,BARWANI,91674,102579,194253,47.19309354,52.80690646
28,28,MORENA,91850,97042,35043,41325,138,94818,0,40569,MORENA,89416,93768,183184,48.81212333,51.18787667
49,49,VIDISHA,87173,94572,25374,24395,158,93549,103,24167,VIDISHA,88614,92846,181460,48.83390279,51.16609721
16,16,GUNA,81700,89669,21642,17935,45,88745,5,17589,GUNA,82698,90005,172703,47.88451851,52.11548149
5,5,BETUL,86848,89347,40757,41397,0,88285,0,41037,BETUL,85629,86891,172520,49.6342453,50.3657547
45,45,SINGRAULI,78775,89129,17487,17971,1435,86982,211,17538,SINGROULI,80800,91524,172324,46.88841949,53.11158051
33,33,RAJGARH,72327,87972,14579,14888,38,86547,18,14661,RAJGARH,74843,94283,169126,44.2528056,55.7471944
6,6,BHIND,89438,90529,36148,40803,29,85507,166,39001,BHIND,83496,87553,171049,48.81408251,51.18591749
39,39,SEONI,79400,83856,35272,39750,0,83129,0,39673,SEONI,75427,78611,154038,48.96648879,51.03351121
47,47,UJJAIN,69934,82201,26758,24377,89,81122,167,24243,UJJAIN,65298,77866,143164,45.61062837,54.38937163
44,44,SIDHI,72451,82076,23522,26820,0,80712,0,26567,SIDHI,74796,83786,158582,47.16550428,52.83449572
3,3,BALAGHAT,77405,83105,31830,37630,138,80179,3,36909,BALAGHAT,80738,85204,165942,48.65434911,51.34565089
11,11,DAMOH,74641,80610,28385,31019,11,79121,26,30871,DAMOH,71885,77000,148885,48.28223125,51.71776875
41,41,SHAJAPUR,62522,80169,22122,22249,156,78748,0,21925,SHAJAPUR,34780,45315,80095,43.42343467,56.57656533
21,21,JABALPUR,76842,80778,32053,34420,416,77481,566,34222,JABALPUR,73461,75680,149141,49.25607311,50.74392689
22,22,JHABUA,80880,77495,14936,9901,74,75327,0,9330,JHABUA,83856,79859,163715,51.22071893,48.77928107
24,24,KHANDWA,71579,76077,20703,19681,175,73886,0,19595,KHANDWA,71286,73545,144831,49.22012553,50.77987447
23,23,KATNI,69822,73752,29274,30702,8,72807,5,30451,KATNI,69213,72300,141513,48.90928749,51.09071251
13,13,DEWAS,57226,73008,19323,22012,22,71914,26,22001,DEWAS,56387,70761,127148,44.34753201,55.65246799
32,32,RAISEN,69612,75630,25781,28675,138,71189,0,27732,RAISEN,67587,72586,140173,48.21684633,51.78315367
34,34,RATLAM,67127,73802,23456,19010,44,70780,22,18616,RATLAM,66786,72875,139661,47.82007862,52.17992138
38,38,SEHORE,59315,69759,23679,28736,58,69271,21,28612,SEHORE,52114,65668,117782,44.24614967,55.75385033
17,17,GWALIOR,62058,71936,21861,26002,6,68442,4,25452,GWALIOR,62850,71550,134400,46.76339286,53.23660714
31,31,PANNA,64398,71684,23192,27654,0,66089,0,24352,PANNA,65917,71694,137611,47.90096722,52.09903278
26,26,MANDLA,60585,64588,24873,25962,0,63627,21,25626,MANDLA,59389,62550,121939,48.70386013,51.29613987
40,40,SHAHDOL,60602,64285,23345,25487,0,63402,0,25386,SHAHDOL,59681,62524,122205,48.83679064,51.16320936
2,2,ASHOKNAGAR,58425,63410,17104,15335,27,62573,0,15309,ASHOKNAGAR,57365,61323,118688,48.33260313,51.66739687
20,20,INDORE,51373,63061,21568,26803,116,61382,5,26010,INDORE,48230,61176,109406,44.08350548,55.91649452
0,0,ALIRAJPUR,62154,61637,12203,10116,32,60950,12,10027,ALIRAJPUR,64179,63359,127538,50.32147282,49.67852718
27,27,MANDSAUR,48210,59566,20099,19135,140,59061,51,19178,MANDSAUR,45933,57078,103011,44.59038355,55.40961645
7,7,BHOPAL,53657,60364,19198,24733,1401,57328,455,23929,BHOPAL,49748,54895,104643,47.54068595,52.45931405
42,42,SHEOPUR,48409,51729,13291,11695,150,48938,155,11374,SHEOPUR,46281,48254,94535,48.95647115,51.04352885
29,29,NARSIMHAPUR,46892,49041,21264,22963,0,48879,0,22900,NARSINGHPUR,45401,47193,92594,49.03233471,50.96766529
19,19,HOSHANGABAD,44576,48763,19011,21125,29,48402,0,20390,HOSHANGABAD,48677,55004,103681,46.94881415,53.05118585
12,12,DATIA,46626,47589,19063,18093,2,47580,0,17834,DATIA,45211,46623,91834,49.23122155,50.76877845
48,48,UMARIA,36924,39868,9130,9083,45,39098,2,8700,UMARIA,37115,39892,77007,48.19691716,51.80308284
15,15,DINDORI,36671,39749,11870,12244,21,38164,0,12305,DINDORI,41472,44703,86175,48.12532637,51.87467363
1,1,ANUPPUR,35148,37844,7775,9002,129,37259,64,8916,ANUPPUR,35322,37501,72823,48.50390673,51.49609327
8,8,BURHANPUR,36214,38758,4944,4562,85,37062,0,5382,BURHANPUR,32942,33982,66924,49.22299922,50.77700078
30,30,NEEMUCH,30855,36347,11468,10924,42,35799,64,10774,NEEMUCH,28524,34804,63328,45.04168772,54.95831228
18,18,HARDA,29317,31133,10419,10322,0,30655,0,9966,HARDA,28534,30164,58698,48.61153702,51.38846298
