No,District,Total,TOTAL-PS,TOTAL-MS,TOTAL-HS,TOTAL-HSS,Total-VER,PS-VER,MS-VER,HS-VER,HSS-VER,Total-UNVER,PS-UNVER,MS-UNVER,HS-UNVER,HSS-UNVER,Total%-VER,PS%-VER,MS%-VER,HS%-VER,HSS%-VER
"                                        1
                                    ",GUNA,2390,1677,586,77,50,2373,1675,586,63,49,17,2,0,14,1,99.29,99.88,100,81.82,98
"                                        2
                                    ",GWALIOR,2128,1424,565,80,59,2112,1421,562,71,58,16,3,3,9,1,99.25,99.79,99.47,88.75,98.31
"                                        3
                                    ",MANDSAUR,2000,1289,545,84,82,1985,1287,544,72,82,15,2,1,12,0,99.25,99.84,99.82,85.71,100
"                                        4
                                    ",NARSINGHPUR,1900,1230,498,95,77,1881,1228,497,80,76,19,2,1,15,1,99,99.84,99.8,84.21,98.7
"                                        5
                                    ",RAISEN,2706,1861,658,117,70,2677,1853,655,99,70,29,8,3,18,0,98.93,99.57,99.54,84.62,100
"                                        6
                                    ",JABALPUR,2463,1606,654,101,102,2436,1600,650,86,100,27,6,4,15,2,98.9,99.63,99.39,85.15,98.04
"                                        7
                                    ",SATNA,3922,2687,940,142,153,3879,2685,938,111,145,43,2,2,31,8,98.9,99.93,99.79,78.17,94.77
"                                        8
                                    ",SHAJAPUR,1451,890,444,53,64,1434,889,444,41,60,17,1,0,12,4,98.83,99.89,100,77.36,93.75
"                                        9
                                    ",CHHATARPUR,2931,1961,759,116,95,2895,1960,757,85,93,36,1,2,31,2,98.77,99.95,99.74,73.28,97.89
"                                        10
                                    ",DHAR,4480,3294,875,181,130,4408,3290,855,141,122,72,4,20,40,8,98.39,99.88,97.71,77.9,93.85
"                                        11
                                    ",SEONI,3104,2125,753,127,99,3053,2123,742,100,88,51,2,11,27,11,98.36,99.91,98.54,78.74,88.89
"                                        12
                                    ",CHHINDWARA,4103,2685,1043,177,198,4027,2676,1013,157,181,76,9,30,20,17,98.15,99.66,97.12,88.7,91.41
"                                        13
                                    ",DEWAS,2355,1544,631,95,85,2311,1535,623,73,80,44,9,8,22,5,98.13,99.42,98.73,76.84,94.12
"                                        14
                                    ",SEHORE,2356,1443,678,127,108,2312,1424,670,113,105,44,19,8,14,3,98.13,98.68,98.82,88.98,97.22
"                                        15
                                    ",REWA,4391,3175,952,133,131,4307,3140,936,104,127,84,35,16,29,4,98.09,98.9,98.32,78.2,96.95
"                                        16
                                    ",DATIA,1377,870,384,84,39,1349,866,384,61,38,28,4,0,23,1,97.97,99.54,100,72.62,97.44
"                                        17
                                    ",NEEMUCH,1367,875,373,54,65,1339,867,363,45,64,28,8,10,9,1,97.95,99.09,97.32,83.33,98.46
"                                        18
                                    ",TIKAMGARH,2588,1778,601,127,82,2533,1775,600,78,80,55,3,1,49,2,97.87,99.83,99.83,61.42,97.56
"                                        19
                                    ",SINGROULI,2163,1508,508,80,67,2116,1489,498,63,66,47,19,10,17,1,97.83,98.74,98.03,78.75,98.51
"                                        20
                                    ",BETUL,3204,2032,888,156,128,3131,2020,857,126,128,73,12,31,30,0,97.72,99.41,96.51,80.77,100
"                                        21
                                    ",KHANDWA,1827,1157,495,83,92,1783,1148,492,54,89,44,9,3,29,3,97.59,99.22,99.39,65.06,96.74
"                                        22
                                    ",VIDISHA,2903,1917,776,122,88,2830,1881,767,95,87,73,36,9,27,1,97.49,98.12,98.84,77.87,98.86
"                                        23
                                    ",MANDLA,2920,2093,614,130,83,2842,2059,603,98,82,78,34,11,32,1,97.33,98.38,98.21,75.38,98.8
"                                        24
                                    ",KHARGONE,3721,2614,842,162,103,3620,2584,820,122,94,101,30,22,40,9,97.29,98.85,97.39,75.31,91.26
"                                        25
                                    ",BURHANPUR,830,519,219,41,51,806,511,210,34,51,24,8,9,7,0,97.11,98.46,95.89,82.93,100
"                                        26
                                    ",RATLAM,2413,1664,567,100,82,2342,1636,556,73,77,71,28,11,27,5,97.06,98.32,98.06,73,93.9
"                                        27
                                    ",MORENA,2577,1839,557,94,87,2496,1796,554,66,80,81,43,3,28,7,96.86,97.66,99.46,70.21,91.95
"                                        28
                                    ",ANUPPUR,1727,1191,394,69,73,1672,1166,385,53,68,55,25,9,16,5,96.82,97.9,97.72,76.81,93.15
"                                        29
                                    ",UJJAIN,2407,1477,730,97,103,2327,1447,712,68,100,80,30,18,29,3,96.68,97.97,97.53,70.1,97.09
"                                        30
                                    ",BALAGHAT,3058,2010,784,128,136,2956,1986,757,98,115,102,24,27,30,21,96.66,98.81,96.56,76.56,84.56
"                                        31
                                    ",PANNA,2466,1619,714,72,61,2382,1604,658,60,60,84,15,56,12,1,96.59,99.07,92.16,83.33,98.36
"                                        32
                                    ",SHIVPURI,3176,2254,703,152,67,3067,2213,702,85,67,109,41,1,67,0,96.57,98.18,99.86,55.92,100
"                                        33
                                    ",UMARIA,1327,802,384,89,52,1281,801,376,55,49,46,1,8,34,3,96.53,99.88,97.92,61.8,94.23
"                                        34
                                    ",SAGAR,3449,2187,941,194,127,3323,2128,923,148,124,126,59,18,46,3,96.35,97.3,98.09,76.29,97.64
"                                        35
                                    ",SHAHDOL,2308,1627,498,97,86,2218,1590,485,62,81,90,37,13,35,5,96.1,97.73,97.39,63.92,94.19
"                                        36
                                    ",INDORE,1866,1114,592,65,95,1793,1070,581,54,88,73,44,11,11,7,96.09,96.05,98.14,83.08,92.63
"                                        37
                                    ",ASHOKNAGAR,1589,1106,385,67,31,1526,1082,381,33,30,63,24,4,34,1,96.04,97.83,98.96,49.25,96.77
"                                        38
                                    ",DAMOH,2224,1472,587,81,84,2135,1451,579,45,60,89,21,8,36,24,96,98.57,98.64,55.56,71.43
"                                        39
                                    ",SHEOPUR,1234,874,283,43,34,1184,860,278,25,21,50,14,5,18,13,95.95,98.4,98.23,58.14,61.76
"                                        40
                                    ",HARDA,914,543,284,53,34,876,530,280,35,31,38,13,4,18,3,95.84,97.61,98.59,66.04,91.18
"                                        41
                                    ",HOSHANGABAD,1911,1186,551,94,80,1831,1161,529,67,74,80,25,22,27,6,95.81,97.89,96.01,71.28,92.5
"                                        42
                                    ",DINDORI,2019,1425,454,85,55,1931,1406,438,46,41,88,19,16,39,14,95.64,98.67,96.48,54.12,74.55
"                                        43
                                    ",SIDHI,2560,1707,643,107,103,2437,1641,630,68,98,123,66,13,39,5,95.2,96.13,97.98,63.55,95.15
"                                        44
                                    ",BHIND,2670,1751,742,109,68,2523,1671,709,86,57,147,80,33,23,11,94.49,95.43,95.55,78.9,83.82
"                                        45
                                    ",RAJGARH,2881,1917,747,141,76,2705,1889,735,50,31,176,28,12,91,45,93.89,98.54,98.39,35.46,40.79
"                                        46
                                    ",JHABUA,2567,1991,429,88,59,2406,1902,402,54,48,161,89,27,34,11,93.73,95.53,93.71,61.36,81.36
"                                        47
                                    ",KATNI,2036,1327,529,101,79,1885,1259,505,53,68,151,68,24,48,11,92.58,94.88,95.46,52.48,86.08
"                                        48
                                    ",BARWANI,3203,2362,684,92,65,2918,2174,618,69,57,285,188,66,23,8,91.1,92.04,90.35,75,87.69
"                                        49
                                    ",ALIRAJPUR,2433,1950,374,70,39,1872,1533,283,33,23,561,417,91,37,16,76.94,78.62,75.67,47.14,58.97
"                                        50
                                    ",BHOPAL,1324,817,375,59,73,956,586,272,33,65,368,231,103,26,8,72.21,71.73,72.53,55.93,89.04
"                                        51
                                    ",AGAR MALWA,1006,647,296,36,27,0,0,0,0,0,1006,647,296,36,27,0,0,0,0,0
 ,Total,122925,83113,30508,5127,4177,117481,80568,29394,3691,3828,5444,2545,1114,1436,349, , , , , 
